heading,description
Lionel Messi vs Cristiano Ronaldo: Time to savour the last remnants of the great rivalryPremium Story,"Their time at the very top is coming to an end, and respective sets of fans need to appreciate the greatness that both possess"
David Warner and Marnus Labuschagne hundreds set up another big Australia ODI win,"Australia racked up 392-8, its third highest ODI total, and bowled out South Africa for 269 with 8.1 overs to spare."
"India vs Pakistan, Asia Cup 2023 Super 4 tip-off XI: Bumrah returns, Kishan to bat at No 5, Faheem retains his place","Asia Cup 2023, IND vs PAK tip-off XI: KL Rahul unlikely to start due to a niggle in his groin that puts a question mark on his wicketkeeping abilities in a 50-over game."
Hyderabad wants Pakistan warm-up game on September 29 to be rescheduled,"The HCA cites Ganesh Visarjan and Milad-Un-Nabi festivals for their request. They also reiterated their previous plea to reschedule the world cup matches on October 9 and 10th, involving Pakistan, due to inadequate security cover."
Coco Gauff falls back on her appetite to fight to lift US Open title with comeback win,The 19-year-old's impressive mental maturity and defensive sturdiness was on display as she turned around a one-set deficit against Aryna Sabalenka in the final to win her maiden Grand Slam.
"India vs Pakistan Live Streaming, Asia Cup 2023: When and where to watch the match live for free?","IND vs PAK Live Streaming, Asia Cup 2023: India will take on Pakistan at the R Premadasa Stadium in Colombo on Sunday."
Asia Cup: Dasun Shanaka leads from front as Sri Lanka beats Bangladesh for 13th consecutive win,"Defending 257, SL skipper chips in with three wickets for first Super 4s victory."
China’s chess revolution: From being banned during cultural revolution to having both men’s and women’s world champions,"Three women’s world champions — Hou Yifan, Tan Zhongyi and Ju Wenjun — and two men’s players Yu Yangyi and Wei Yi speak to The Indian Express about chess in China."
Virgil van Dijk says ban and fine hard lesson to learn,"Van Dijk, away on national team duty with the Netherlands, will also miss Liverpool's home match against Wolverhampton Wanderers next Saturday."
"US Open: After a serving masterclass against Carlos Alcaraz, Daniil Medvedev to face versatile Novak Djokovic in final",Russian stuns Spaniard in four sets while soon-to-be-No. 1 Djokovic eases past American Ben Shelton.
Asia Cup: Pakistan retain playing XI for clash against India,"Pakistan will enter the match against India with a four-pronged pace attack that includes Shaheen Shah 
Afridi, Naseem Shah, Haris Rauf and Faheem Ashraf."
"The Goodfellas in Asia Cup: Shaheen Afridi, Naseem Shah, & Haris Rauf with the 90’s nostalgia","It was Wasim Akram, Waqar Younis, and Shoaib Akhtar then who terrorised the world. Now, another pack of three are hunting down the batsmen around the world."
World Championships: Lifter N Ajith finishes 5th in men’s 73kg Group C,"The Commonwealth Championships gold medallist, who was unceremoniously dumped from the Asian Games squad last month as he didn't meet the Sports Ministry's selection criteria."
Football star Achraf Hakimi urges Moroccans to ‘help each other’ after earthquake,The earthquake struck late Friday night. It has killed hundreds of people and damaged buildings from villages in the Atlas Mountains to the historic city of Marrakech.
West Indies vs India 2023: ICC rates pitches for both Tests as ‘average’,"While Cricket West Indies would have had the option to appeal Crowe's verdict in that case, it would have also had to explain to the ICC regarding the sub-standard of the pitch."
"‘Sometimes, there is no technical flaw’: Shubman Gill on India’s issues with Shaheen Afridi","In the time Gill and Rohit have opened together, the duo average 84.70 and have three century stands and four fifty-plus partnerships together."
IPL 2024: Lucknow Super Giants rope in Sridharan Sriram as assistant coach,"Sridharan Sriram will be joining head coach Justin Langer and mentor Gautam Gambhir, alongside Vijay Dahiya (assistant coach), Pravin Tambe (spin-bowling coach, Morne Morkel (fast-bowling coach) and Jonty Rhodes (fielding coach)."
"Sri Lanka vs Bangladesh highlights, Asia Cup 2023: Pathirana, Theekshana and Shanaka rattle BAN as SL win by 21 runs","Asia Cup 2023 highlights, SL vs BAN Match Today: Bangladesh have won the toss and they have opted to bowl first against Sri Lanka in Colombo."
Pakistan have an edge over India: Babar Azam before India vs Pakistan,"Pakistan pacers have been doing exceedingly well in the Asia Cup as Shaheen Shah Afridi, Haris Rauf and Naseem Shah have so far taken 23 wickets among them from just three matches."
"‘As an all-rounder, my workload is twice or thrice as anyone else’: Hardik Pandya","With proper management, Hardik Pandya can be a key player for India in the upcoming ODI World Cup."
AB de Villiers reveals how Suryakumar Yadav needs minor mindset shift to crack ODI code,"Suryakumar Yadav, who has modelled his batting in AB De Villiers 360-degree hitting style, has found a fan in the South African."
Watch: Oman’s Muhammad Imran who looks and bowls like Shoaib Akhtar,Oman's Muhammad Imran not only imitates former Shoaib Akhtar’s bowling action but also look like the former Pakistan speedster.
US Open semi-final: Carlos Alcaraz says he will not dwell long on shock exit,Carlos Alcaraz rarely seems to let his frustration get the best of him on the court but admitted that he struggled to keep his temper on Friday
"Renaissance Man: In twilight of his career, Rohan Bopanna steps out of shadows of Indian greats with US Open final appearancePremium Story","Tennis ace overcomes a career-threatening knee injury, falls back on Iyengar yoga to cement his legacy as one of India’s finest doubles players ever."
"Andrew Flintoff makes first public appearance since Top Gear crash, seen with severe facial injuries","The England former all-rounder, who has kept a low profile since being injured while filming for Top Gear last December, has joined England's backroom staff for the New Zealand vs England ODI series."
"India vs Pakistan Press Conference Highlights: Playing Pakistan was different, there was an extra pressure, says Shubman Gill","IND vs PAK Press Conference, Asia Cup 2023: Pakistan skipper Babar Azam is hopeful that rain will stay away on Sunday."
Lamine Yamal becomes youngest player to score in a European qualifier as Spain rout Georgia 7-1,Yamal's strike in the 74th minute also saw him make history as Spain's youngest goal scorer. Gavi had previously set the record at 17 years and 10 months.
Novak Djokovic will face Daniil Medvedev in the US Open final. It’s a rematch from 2021,"And after overcoming what he called “a little black hole” caused by tension to right himself, finish off a 6-3, 6-2, 7-6 (4) victory and reach his record-tying 10th final at Flushing Meadows and 36th at all major tournaments."
Daniil Medvedev ousts US Open defending champion Carlos Alcaraz to reach the final. Djokovic awaits,The No. 3-seeded Medvedev won his lone major title at Flushing Meadows in 2021 by defeating 23-time Slam winner Djokovic in that year's final.
"How to break Shaheen Afridi’s code of deception? Play the ball, not the bowler: Aquib Javed advices Indian batsmenPremium Story","'You are Virat Kohli because you play like a Kohli. All of a sudden you can't become Chanderpaul,' says the former Pak speedster about attack-shying Indians."
Neymar breaks Pele’s record as Brazil’s all-time top goal scorer,The goal that put the 31-year-old Neymar on the top of Brazil’s scoring mark with 78
‘He is the super sub’: Paine wants Labuschagne in Australia’s World Cup squad after his heroics in Bloemfontein,Paine says Labuschagne's Test career took off after he came as Steve Smith's concussion and potentially he has got himself in contention for the World Cup following his unbeaten 80  after Cameron Green was subbed out of the game after being struck on the helmet.
"Day in a GM’s life: Sleeping at airports, non-stop travel","India’s top chess players are seeing the waistline of their passports fatten every year, thanks to their hectic schedules all through the year as they chase rating points, glory… and each other"
Devon Conway and Daryl Mitchell hit unbeaten centuries as New Zealand easily beats England in 1st ODI,"Set 292 to win, the New Zealanders reached the target with 26 balls to spare at Sophia Gardens as Conway (111) and Mitchell (118) each struck their fourth ODI hundreds."
May it rain harder on second day and these malicious plans not succeed: Venkatesh Prasad blasts ACC for adding reserve day only for IND-PAK,"With Sunday's forecast pointing towards another India-Pakistan wash out, the ACC would add a reserve day for the Super 4 contest and the final scheduled for next Sunday."
Why Mohammed Shami needs more game-time in the Asia Cup,"Shami needs to regain his groove before the World Cup, even if he might not be an automatic pick."
"The man who beat death, a Datsun that has become an F1 car, snooping row, health concerns: Rugby World Cup begins in France","New Zealand, South Africa and Ireland start favourites as the best teams assemble to fight for supremacy."
KL Rahul keeps wickets at nets ahead of Pakistan clash,"But on Friday, Rahul might have answered a few sceptics while keeping for nearly 45 minutes at nets"
Oscar-winning actress Michelle Yeoh proposed to be an Olympic committee member,"Yeoh, who won an Academy Award for best actress this year for her performance in “Everything Everywhere All at Once,” was among eight potential new members who will likely be approved by their soon-to-be colleagues at a meeting next month in Mumbai, India"
‘My mum was adamant that I was playing’: Marnus Labuschagne shares conversation ahead of concussion sub heroics vs SA,The 29-year-old would produce another brilliant innings as concussion sub to help Australia best South Africa in the first of five ODIs.
Virgil Van Dijk suspended for extra game,"The Dutch defender was also fined 100,000 pounds after admitting he acted in an improper manner, the Football Association said in a statement"
"There will be no gold for the USA at the Basketball World Cup, after 113-111 loss to Germany",Germany on the cusp of a world title
Lionel Messi brings Hollywood to Miami,"The galaxy of tinsel town stars turn up to be dazzled, and out-dazzled, by the little Argentine’s infinitely burning genius."
We also would have liked to have reserve day: Chandika Hathurasingha,"Earlier in the day, the Asian Cricket Council (ACC) announced that the Indo-Pak match could resume on September 11 if the rain plays spoilsport on September 10"
Federico Chiesa and Lorenzo Pellegrini out of Italy squad for Euro qualifiers,"Luciano Spalletti and his squad leave on Friday for Skopje where they will face North Macedonia on Saturday, but Chiesa and Pellegrini have both returned to their clubs after picking up muscle injuries"
Pakistan have the most lethal new-ball attack in the game: Sunil Gavaskar ahead of IND-PAK Asia Cup clash,"The pace trio of Shaheen Afridi, Haris Rauf and Naseem Shah share a total of 23 wickets between them in the three games so far at this Asia Cup, and sit as the top three in the wickets tally."
"Embattled Germany coach Hansi Flick promises new playing style, high intensity","With eight months before Germany host the Euro 2024, Flick knows that any slip-ups in their two matches against Japan and France on Tuesday could put his job at risk, with his team still a way from being tournament-worthy"
Spanish prosecutors accuse Luis Rubiales of sexual assault and coercion for kissing a player at World Cup,"Rubiales, the now-suspended president of the Spanish soccer federation, kissed Jenni Hermoso on the lips during the awards ceremony after Spain beat England to win the title on Aug. 20 in Sydney, Australia"
Saudi spending in transfer window second only to Premier League,"Saudi's spend in the transfer window, which closed on Sept. 7, exceeded the spending of four of Europe's 'big five' leagues with only the Premier League ahead of the Middle Eastern nation."
Players should have been convinced to look at bigger picture: Sunil Gavaskar on Asia Cup venue fiasco,"The Asia Cup, which is being hosted by PCB, is being held in a 'Hybrid Model' with India playing all their matches in Sri Lanka after refusing to travel to Pakistan"
"SL vs BAN Live Streaming, Asia Cup 2023: When and where to watch?","Sri Lanka vs Bangladesh Live Streaming, Asia Cup 2023: Bangladesh will face Sri Lanka in the second Super Four encounter"
Are you angrey at me? Mitchell Starc reveals his fiery net battle with Steve Smith,"Starc says he was upset with the then Australian skipper Smith, who took a crack on the bowlers in the press conference after their first match against New Zealand during the  2017 Champions Trophy"
"Inside the chess backroom: Mums, dads and smart movesPremium Story","Away from the spotlight that shines so brightly on teenage chess prodigies, their parents have some remarkable tales themselves: of careers put on hold to be full-time chaperones, managers and emotional support systems, of managing gruelling travel schedules and enduring financial hardships"
"Asia Cup: Sri Lanka, Bangladesh coaches cry foul over extra day for India-Pakistan game","SL coach Silverwood says it will be a problem if reserve day provides points to one team, Hathurasingha alleges other teams were not consulted"
"Nitin Menon, Kumar Dharmasena to be on-field umpires for World Cup  opener","The experienced list includes three of the four umpires who were appointed for the 2019 final at Lord's - Dharmasena, Marais Erasmus and Rod Tucker – with only Aleem Dar missing, who stepped down from the Elite Panel in March of this year."
‘There are two Pathans’: Shoaib Akhtar heaps praise on Pakistan’s pace battery,Akhtar says Shaheen Shah Afridi is currently the best bowler in the world.
"Dutch cricket board Ad: Want seamers who bowl 120 clicks, mystery spinners for World Cup camp in Alur","The Dutch cricket board, in a first of its kind advertisement has sought one left-arm seamer, right arm seamer, mystery spinner and a left-arm spinner for their five-day pre-Cup camp in Alur from September 20-24."
Rohit Sharma says he wants to break Chris Gayle’s record of most sixes,India skipper wants Rishabh Pant to keep backing his natural game and explains his relationship with coach Rahul Dravid.
MS Dhoni spotted playing golf with former US President Donald Trump,MS Dhoni was hosted by Donald Trump at the Trump National Golf Club Bedminster.
Concussion sub Labuschagne leads Australia to comeback win over South Africa,Labuschagne played only after Cameron Green suffered a head injury from a Marco Jansen 140 kph bouncer off his helmet before he scored.
Lionel Messi magic earns Argentina win over Ecuador in World Cup qualifier,Captain Messi continued the fine form he is showing with club side Inter Miami by scoring from a free kick after 77 minutes.
Wingback Denzel Dumfries has three assists as Netherlands beats Greece 3-0 in European qualifier,The Inter Milan wingback first headed back a corner for midfielder Marten de Roon to fire in a low shot in the 17th minute for his first goal for the Netherlands in his 38th international.
France beat Ireland 2-0 to stay perfect in European Championship qualifiers,A spot at the continental tournament in Germany next summer now looks all but secured for the two-time champion.
Coco Gauff tops Karolina Muchova to reach the US Open final,"Gauff, 19, reached her first final at Flushing Meadows by defeating Muchova 6-4, 7-5 on what was anything but an ordinary evening."
"Climate protester glues feet to floor, interrupting US Open semifinal between Gauff and Muchova","The US Tennis Association said three of the protesters were escorted out of the stadium without further incident, but it took longer to remove the person who stuck his feet to the ground."
"Neymar says not 100% fit for Brazil, compares Saudi league to French",Neymar left Paris Saint-Germain for Saudi Arabia's Al Hilal but hasn't yet played for his new club. He said in a press conference Thursday that the Saudi Pro League could be as good as France's Ligue 1 — if not better.
Saudi transfer window closes after a $1 billion spending spree on football stars,"Based on reported fees, Saudi clubs paid just over $1 billion on players, which would place it behind only the English Premier League in terms of global spending during the window."
Suryakumar Yadav can do what MS Dhoni and Yuvraj Singh has done: Harbhajan Singh,Harbhajan Singh wants Suryakumar Yadav in India's playing XI during the ODI World Cup.
Rohan Bopanna-Matthew Ebden enter US Open doubles final,This will be Bopanna's second appearance in a Grand Slam men's doubles final.
"Hard to disagree with players turning down contracts to compete in T20 leagues, says Ben Stokes","Stokes said he understood his players' reluctance to commit to England, telling reporters: ""We know the whole landscape of cricket is changing and that is great for the individuals who are still within the game and great for those who are coming through."""
D Gukesh: ‘Used to handling expectations… have high expectations off myself’,"New India No. 1 believes growing maturity and experience has helped his chess game, and is confident of having it in him to be world champion one day."
"French President Macron: ‘There can’t, obviously, be a Russian flag at the Paris Games’","Russia has not been allowed to fly its flag at the Olympics since the 2016 Rio de Janeiro Games. Since then, Russians have been competing at the Summer and Winter Olympics under various names because of doping issues."
"KL Rahul returns for Asia Cup, but not likely to get his spot back straightaway","Ishan Kishan's evolution, and the fact that he is a left-hander, likely to prompt team management to prefer him for the time being."
"US Open men’s semifinal: For Daniil Medvedev, a match with Carlos Alcaraz is a match made in hell","Having not won more than three games in the five sets the duo played at Indian Wells and Wimbledon this year, Medvedev must overcome a nightmare matchup to spoil the Alcaraz-Djokovic party"
"Murali Sreeshankar pulls out of Diamond League Final in USA, to focus on Asian Games","Sreeshankar made the decision after taking into account that he would need a lot of travel if he has to take part in the September 17 DL Final in Eugene, which may have an impact on his body and disrupt training"
King’s Cup 2023: India press panic button at the death to lose against Iraq,India were leading 2-1 till the 79th minute before shipping in an equaliser and eventually losing in shootout.
England and New Zealand set for ODI series with Stokes back and Brook debate a major subplot,"This time, it is in the calmer surroundings of a four-match series serving as a warmup for the World Cup starting in India next month"
Asia Cup 2023: What did Indian batsmen do at nets to prepare for Shaheen Afridi?,"With rain ruling out outdoor training, the Indians, barring Rohit Sharma and Virat Kohli, had a videotaped indoor session against left-arm throwdown specialist"
"Yuzvendra Chahal, Arshdeep Singh are two people missing in this WC team: Harbhajan Singh","Chahal and Arshdeep were overlooked from the Indian squad, which was announced by the Ajit Agarkar-led selection committee on Tuesday"
"‘Yeh Rohit Sharma nahi, uska stunt double hai’: Shoaib Akhtar rips into Indian captain’s stance change facing Shaheen Afridi",Rohit's dismissal by Afridi last Sunday further raised questions on the Indian top order's ability to counter the Pakistan left hander.
Demarai Gray joins Al-Ettifaq from Everton on Saudi transfer deadline day,The Jamaica international moved for an undisclosed fee and signed a four-year contract.
"Liverpool are in a transitional phase, says Virgil van Dijk","Once a fan favourite who could not put a foot wrong, the 32-year-old was criticised for his performances last term but told reporters he felt he had got the new campaign off to a promising start, despite being sent off at Newcastle United last month"
"Roelof van der Merwe, Colin Ackermann headline Netherlands’ ICC Cricket World Cup 2023 squad","The duo was not part of the team during the Qualifiers, where the side finished as runner-up"
"The long road winding down at the World Cup, where semifinals await Team USA","The U.S. plays Germany on Friday night in the World Cup semifinals, with a berth in Sunday's gold-medal game awaiting the winner"
Watch: MS Dhoni among the spectators in Carlos Alcarez vs Alexander Zverev US Open quarterfinal clash,It seems Dhoni is a fan of Alcarez as he was seen in the stands with Kapil Dev last year in the US Open as well
UEFA to raise payments for clubs not in European competition,"UEFA and the European Club Association (ECA) signed a renewed working agreement until 2030 which will ""bolster long-term stability and sustainable growth in European club football"", the governing body said in a statement."
Watch: Novak Djokovic loses his cool after a fan shouts ‘out’ during US Open quarterfinal against Taylor Fritz,The fan distracted Djokovic and cost him a point in the quarterfinal against Taylor Fritz.
"Indian men’s Table Tennis team loses to Chinese Taipei in semifinals, signs off with bronze at Asian Championships","Sharath was handed a 6-11, 6-11, 9-11 defeat by Chuang Chih-Yuan, ranked 26th, while Sathiyan went down 5-11, 6-11, 10-12 to world number 7 Lin Yun-Ju."
Naomi Osaka returns to the US Open for a discussion about mental health with Michael Phelps,"Osaka recently gave birth to a daughter and hasn't competed on tour since an event in Tokyo in September 2022, shortly after she lost in the first round of the US Open."
Carlos Alcaraz stops Alexander Zverev to set up semi-final of US Open champions,"A US Open finalist in 2020, Zverev showed up ready to fight but the tank emptied quickly, the 12th seed unable to keep pace as Alcaraz stepped on the gas to pull away for a straightforward win."
Madison Keys says Grand Slam pressure helps her find extra gear,"Keys spoke last year about a ""dark pit of despair"" she found herself in after her career stalled due to the pressure of trying to stay in the upper echelons of the sport."
‘The legacy lives on’: Cristiano Ronaldo says rivalry with Lionel Messi is over,"The Al Nassr forward says ""If you love Cristiano Ronaldo, you don’t have to hate Lionel Messi."""
Daniil Medvedev warns about ‘dangerous’ US Open heat,Medvedev and fellow Russian Andrey Rublev were so drenched in sweat it looked like they had been dunked in the nearby Hudson River amid a punishing heat wave gripping New York.
"Lionel Messi and Aitana Bonmati lead Ballon d’Or nominee lists, Cristiano Ronaldo misses cut","Ronaldo, a five-time winner who now plays for Al-Nassr in Saudi Arabia, missed the cut for the first time since 2003."
Mitchell Starc to end his IPL hiatus next year,Australia's left-arm pacer will put his name in the auction ahead of the IPL 2024.
I want to be player of the series in this Asia Cup: Haris Rauf,Rauf currently leads the overall wickets tally at the ongoing Asia Cup with nine scalps.
"Asia Cup prey to India-Pak spat, poor choice of venues","Row between BCCI & PCB over tournament venue, and disregarding weather forecasts cast a shadow over dress rehearsal for World Cup."
Why Pakistan is the strongest team in the Asia Cup despite low-key build-up,"Pakistan have played just a handful of ODIs this year, but they look the most competent team in Asia Cup, which they showed by thrashing Bangladesh."
Harry Brook added to England squad for New Zealand ODI series,"Brook, left out of England's provisional World Cup squad, was also named in the squad for three ODIs against Ireland this month in which the team will be captained by Zak Crawley."
Yuzvendra Chahal joins Kent for maiden county cricket stint,"“This is an exciting challenge for me, playing in English county cricket, and one I’m very much looking forward to,” Chahal said."
India shouldn’t play Suryakumar Yadav just to get him game time: Former batting coach Sanjay Bangar,"Having made his reputation as the quintessential feature in India's T20 side, Surya hasn't been able to replicate his success in the shortest format when it comes to 50-overs cricket."
"After unbeaten run at home, Indian football team braces for stern away test","With an eye on Asian Cup, Stimac's team, minus Chhetri, will take on Iraq in the King's Cup in Thailand on Thursday."
"BCCI to release 400,000 tickets in next phase of sales for 2023 ODI World Cup",The general sale of tickets for all matches of will commence from 8:00 PM IST onwards on September 8 and fans can purchase tickets by visiting https://tickets.cricketworldcup.com.
Asia Cup: Floodlight malfunction for 20 minutes leaves PCB red-faced,Bangladesh were all-out for 193 in 38.4 overs and Pakistan had started their chase on time reaching 15 for no loss in five overs when light in one of the towers installed at the Gaddafi Stadium went off.
Want to beat Novak Djokovic at the US Open? Better get your first serve in,"In his five outings at Flushing Meadows so far, the Serb has won 64% of the points while returning his opponent’s second serve."
Jenni Hermoso accuses Luis Rubiales of sexual assault for FIFA Women’s World Cup 2023 kiss,"Rubiales, the now-suspended president of the Spanish soccer federation, kissed Hermoso on the lips during the awards ceremony after Spain beat England to win the title on August 20 in Sydney, Australia."
Manchester United say they’re taking Antony assault allegations seriously,"Brazil's soccer federation (CBF) announced Antony's withdrawal on Monday, after local media outlet UOL published allegations physical assault against him from ex-girlfriend Gabriela Cavallin."
"Shubman Gill, Ishan Kishan attain career-best ICC ODI Rankings","Gill has broken into the top three among batters, attaining the third spot with 750 rating points, thanks to his 67 against Nepal. Kishan is in the 24th spot with 624 rating points, thanks to his brilliant knock of 82 vs Pakistan."
"When you have selected KL Rahul, he should be given a fair run: Ravi Ashwin on India’s World Cup squad","Out of all the positions he's batted in the ODIs, Rahul has most frequently and more recently been a number five batter. A position that's been recently occupied by Ishan Kishan, who scored a crucial knock during the group stage game against Pakistan."
"Boris Gelfand on working with India’s ‘golden generation’, evolution of chess and perils of ‘too much information’","Soviet-born Israeli GM says that challenge of current generation of chess players is to navigate through too much information. ‘It’s almost as challenging as it was for us (back in the day) to navigate without information,’ he says."
AIFF urges ISL clubs to release Asian Games-bound footballers,"The Hangzhou-bound 22-member Indian men's squad has six players from Bengaluru FC, three from Mumbai City FC, while FC Goa, Mohun Bagan, East Bengal, Odisha FC, Kerala Blasters have two each."
Asia Cup: Injury scare for Pakistan’s Naseem Shah versus Bangladesh,"With Bangladesh batting first, pacer Shaheen Afridi bowled to Mohammad Naim, who flicked the ball to the fine leg. As Naseem went for a full-length dive to his left to stop the ball, he immediately held his arm and was in visible pain."
Delhi court grants wrestler Bajrang Punia exemption from personal appearance in defamation case,"Metropolitan Magistrate Yashdeep Chahal, who had summoned Punia before the court today, granted him the relief after his lawyer sought exemption on medical ground, claiming the wrestler was unable to appear since he was suffering from fever."
Watch: Former New Zealand cricketer Chris Cairns shares video of himself walking on crutches after spinal stroke,"Cairns has been wheelchair bound following a life-threatening heart attack and paraplegia in 2021. Later, he was also diagnosed with bowel cancer."
"Pakistan treated us well, went out of the way to make us comfortable: BCCI President Roger Binny",Binny and Shukla returned to India via the the Attari-Wagah border on Wednesday after watching Asia Cup matches on Pakistan Cricket Board's invitation.
Al Ittihad make world record £215m bid to sign Liverpool’s Mohamed Salah: Report,"Salah has scored 188 goals in 309 appearances since joining Liverpool in 2017, helping the club win the Premier League and Champions League."
Former Lanka cricketer Senanayake arrested over match fixing accusations,"Sachithra Senanayake played a solitary Test, 49 ODIs and 24 T20 internationals between 2012 and 2016."
Manchester United shares drop massively amid reports of no-sale,The share price of Manchester United is likely to remain volatile in the coming days and weeks.
"Pakistan vs Bangladesh highlights, Asia Cup 2023: Mohammad Rizwan and Imam-ul-Haq guide PAK to a win by seven wickets","Asia Cup 2023 highlights, PAK vs BAN Match Today: The pitch in Lahore has been great for batting."
Rohan Bopanna-Matthew Ebden pair reaches US Open 2023 semifinals,"Interestingly, it was in the US Open only when Bopanna competed in his maiden Major final way back in 2010."
IOA replaces all four deputy chefs de mission nominated by previous regime,"The chef de mission and deputy chefs de mission are responsible for the planning, logistics and communication, among other things."
Indian challenge ends after Satwik-Chirag bow out in opening round of China Open,This is the second time the Indonesians have beaten the Satwik-Chirag pair this year. They had defeated the Indian duo in the pre-quarterfinals of the Thailand Open in June
Big-hitting Ben Shelton blasts way past Frances Tiafoe into US Open semis,"Ben Shelton came out guns blazing, with his groundstrokes struck with such venom they drew gasps from the capacity crowd."
"Pakistan vs Bangladesh, Super Fours, Asia Cup 2023 tip-off XI: Faheem Ashraf to feature for PAK, Litton Das returns for BAN","Pakistan vs Bangladesh, Super Fours, 1st Match is expected to be a close contest, but PAK are the slight favorites. They have a better batting line-up and a more experienced bowling attack."
How Afghanistan crashed out of Asia Cup due to calculation error,"In their match against Sri Lanka, they had failed to reach their target of 292 in the stipulated 37.1 overs, but mathematically still had a chance of going through"
"Team India visit Nepal dressing room, Hardik Pandya and Virat Kohli hand out medals in a heartwarming gesture",The Indian cricket team came up with a heartwarming gesture for Nepal players after their Asia Cup 2023 game.
Coco Gauff credits mental endurance for deep US Open run,"Coco Gauff, who is now two wins away from lifting the biggest title of her career, also felt that she was benefiting from a new outlook on life"
New Zealand beat England by six wickets for 2-2 draw in T20I series,The two sides will meet again in Cardiff on Friday for the first of four one-day internationals with the World Cup in India only a month away.
Novak Djokovic keen to have fun but fully focused on winning at US Open,"Appearing more relaxed in his post match interview, Djokovic sang, '(You Gotta) Fight for Your Right (to Party)' with fans in the stands joining along."
US Open 2023: Karolina Muchova marches into US Open semis with win over Cirstea,"Muchova, seeded 10th, smacked 32 winners and played outstanding defence to see off the 33-year-old Cirstea at Arthur Ashe Stadium and reach the last four at Flushing Meadows for the first time."
VAR operation in the EPL is still work in progress: Former referee Keith Hackett bats for semi-automated offside tech; talks about new stringent Premier League rules,Data shows actual playing time is on average just 55 minutes in an EPL game; that has forced the authorities to bring in some rule changes which are now being contested
"Australia announce ODI World Cup squad: Tanveer Sangha, Nathan Ellis and Aaron Hardie left out","Fast bowling captain Pat Cummins, batsman Steve Smith, left-arm pacer Mitchell Starc and all-rounder Glenn Maxwell were all included despite still recovering from injuries."
"The next move for Pragg, Gukesh: Viswanathan Anand believes fatigue, physical fitness and consistency are the challenges awaiting India’s prodigies","It’s nice to qualify for the first time, but you have to do it regularly, keep on playing the Candidates, and establish yourself there, Vishy Anand reckons."
Faulty counting triggers Afghanistan’s exit; Sri Lanka alive in Asia Cup,"It was such a thin margin which decided Sri Lanka’s passage to the Super 4 stage, where they will be joined by Bangladesh from Group B."
Pakistan vs Bangladesh Asia Cup 2023 Super 4 Match Live Streaming Details: When and where to watch match live online?,"Pakistan vs Bangladesh Live Streaming: Here are all the details of Live streaming, live telecast and timings of Asia Cup Super Four match between Pakistan and Bangladesh."
We will return with best medal count from Asian Games: Anurag Thakur,"The Sports Ministry has given approval to 634 athletes from 38 different sporting disciplines to participate in the quadrennial Games, which will be held in the Chinese city from September 23 to October 8."
"Smells like team spirit: At short Chess camp for Asian Games, lot of tactics, some fun, and lessons from Boris Gelfand","A photograph of a training session, posted by Vidit Gujrathi on social media, shows the players flanked by Srinath and Boris Gelfand, who has been invited by the AICF to coach the youngsters just for the camp."
India’s ICC World Cup team selection is all about fear of failure,"Hit by injuries and worried about lack of balance, bold calls were shunned — like going with Yuzvendra Chahal or Ravichandran Ashwin instead worrying about lower-order runs."
Asia Cup: Bangladesh’s Najmul Hossain Shanto ruled out with hamstring injury; Litton replaces,"Premier wicketkeeper batter Litton Das, who was initially ruled out of the tournament because of illness, joined the team in place of Shanto after getting his medical clearance on Tuesday."
Accidental chess player and rapid winner Divya Deshmukh draws praise from Vishy Anand,"Accompanying her older sister to badminton training when just four or five, Divya barely reached the net, so instead joined a chess class happening in the same building."
The fitness of Bumrah and Shami will be key for India at the World Cup: Tom Moody,Both Bumrah and Shami feature in India's Asia Cup squad for the first time in a year.
Spain women’s soccer team coach Jorge Vilda fired after kiss furore,A new board formed after the suspension of RFEF President Luis Rubiales by FIFA over the allegedly non-consensual kiss during the World Cup victory celebration two weeks ago has terminated Vilda's contract.
Hima Das provisionally suspended by NADA for three whereabout failures in 12 months,The 23-year-old Assam runner has not been named in the Hangzhou Asian Games team due to an injury she had sustained earlier this year.
South Africa keeper Quinton de Kock to retire from ODIs after World Cup in India,"""Quinton de Kock has announced his retirement from ODI cricket following the conclusion of the ICC @cricketworldcup in India,"" the CSA wrote."
Asia Cup 2023: Colombo to remain venue for Super 4 stage as Asian Cricket Council shelves Hambantota plan,This means Sunday's India versus Pakistan match will be played in Colombo; Weather in Colombo is expected to improve by the weekend.
ODIs in UAE in September could’ve led to player fatigue and injuries: Jay Shah reacts Najam Sethi’s suggestions for hosting Asia Cup,"In his tweet on Monday, the former PCB chief had questioned the basis on which the 2023 edition of the Asia Cup had not been hosted in the UAE."
India’s ICC World Cup squad: Rohit Sharma says ‘ideally we would have wanted an off-spinner’ but adds Ravindra Jadeja and Axar Patel give the best balance,"Biggest challenge for captain Rohit Sharma will be to find balance in the Playing XI; Top five batsmen are being one-dimensional, while three of the fast bowlers are essentially tailenders."
Rahul Dravid is among all time greats but he could never read me: Muttiah Muralitharan,"Muralitharan said while several Indian batters including Sachin Tendulkar, Virender Sehwag and Gautam Gambhir read his bowling, current India head coach Dravid did not."
"KL Rahul is looking good, gives us the best balance: Chief Selector Ajit Agarkar",Rahul last played for India in an ODI against Australia at Chennai earlier this march.
